Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
809,McSwain Elementary,K-8,McSwain Union Elementary,822,36.3,63.6,21
810,Warm Springs Middle,6-8,Murrieta Valley Unified,871,42.5,63.6,29
811,Frost (Earl) Elementary,K-8,Oak Grove Elementary,652,29.8,63.5,27.1
812,Monte Vista Elementary,K-8,Mountain View Elementary,754,84.6,63.4,26.9
813,Marston Middle,6-8,San Diego Unified,718,59.5,63.4,23.9
814,Salmon Creek School - A Charter,2-8,Harmony Union Elementary,161,44.7,63.3,20.1
815,Lakeside Middle,6-8,Lakeside Union Elementary,866,47.7,63.3,27.9
816,Arroyo Secondary Museum Science,K-8,Los Angeles Unified,529,78.6,63.3,25.1
817,David Starr Jordan Middle,6-8,Burbank Unified,1029,31.5,63.2,25.7
818,Buchser Middle,6-8,Santa Clara Unified,1044,45.9,63.2,22.6
819,Pioneer Middle,6-8,Pioneer Union Elementary,529,36.3,63.1,24
820,Ferndale Elementary,K-8,Ferndale Unified,363,49.6,63,24.2
821,Arcohe Elementary,K-8,Arcohe Union Elementary,412,57.8,63,20.6
822,Evergreen Middle,5-8,Evergreen Union,422,53.3,63,20
823,Claremont Middle,6-8,Oakland Unified,418,56.9,63,17.4
824,Joseph Kerr Middle,7-8,Elk Grove Unified,941,44.5,63,21.8
825,STEAM Academy @ Burke,6-8,El Rancho Unified,575,72.5,62.9,25
826,Thomas Law Reed Elementary,K-8,Kings Canyon Joint Unified,663,71.0,62.9,27.6
827,Mistletoe Elementary,K-8,Enterprise Elementary,627,62.2,62.9,25
828,Eagle Rock High,7-12,Los Angeles Unified,2377,57.3,62.8,22.8
829,California Montessori Project-San Juan Campus,K-8,San Juan Unified,1289,25.1,62.7,20.1
830,Sisson,4-8,Mt. Shasta Union Elementary,297,44.4,62.5,19.8
831,Parkside Intermediate,6-8,San Bruno Park Elementary,846,36.5,62.4,31.3
832,Corona Fundamental Intermediate,6-8,Corona-Norco Unified,1068,62.0,62.4,25.4
833,Heber Elementary,K-8,Heber Elementary,1218,89.6,62.4,20.3
834,Brownell Middle,6-8,Gilroy Unified,853,47.6,62.3,22.4
835,Murray Middle,6-8,Sierra Sands Unified,619,47.7,62.3,22.9
836,Louis Lake Intermediate,7-8,Garden Grove Unified,557,65.0,62.3,25.3
837,Forest Charter,K-12,Nevada County Office Of Education,696,42.8,62.2,22.4
838,Cerro Villa Middle,7-8,Orange Unified,1016,36.7,62.2,26
839,River Oak Charter,K-8,Ukiah Unified,237,41.4,62.2,23.7
840,Redwood Coast Montessori,K-8,Arcata Elementary,99,37.4,62,16.5
841,Las Flores Home Education Independent Study Academy,K-12,Bellflower Unified,170,30.0,62,24.2
842,Hill Creek Elementary,K-8,Santee,764,36.0,61.9,25.4
843,Uncharted Shores Academy,K-8,Del Norte County Office Of Education,147,66.0,61.9,29.4
844,Nile Garden Elementary,K-8,Manteca Unified,474,60.6,61.8,26.3
845,Pleasant Grove,K-8,Pleasant Grove Joint Union,213,31.0,61.8,23.6
846,Chaparral Middle,6-8,Moorpark Unified,661,39.5,61.8,27.5
847,Sequoia Middle,4-8,Redding Elementary,754,56.4,61.7,24.3
848,Golden West Middle,7-8,Travis Unified,880,33.4,61.7,23.7
849,Great Valley Academy,K-8,Stanislaus County Office Of Education,917,45.7,61.6,26.2
850,River Oaks Academy,K-12,Ventura County Office Of Education,200,22.0,61.5,18.1
851,Mary Collins Charter School at Cherry Valley,K-8,Petaluma Joint Union High,386,14.0,61.5,22.7
852,Haskell (Pliny Fisk) Middle,7-8,ABC Unified,550,61.6,61.5,25
853,Celerity Octavia Charter,K-8,Los Angeles Unified,417,93.8,61.5,24.5
854,Louis Pasteur Fundamental Middle,6-8,San Juan Unified,713,41.1,61.5,28.5
855,Los Coyotes Middle,6-8,Norwalk-La Mirada Unified,623,38.4,61.4,25.9
856,Cayucos Elementary,K-8,Cayucos Elementary,210,34.3,61.4,16.1
857,Equitas Academy #2,5-8,Los Angeles Unified,298,96.3,61.4,24.8
858,Sierra Middle,7-8,Lincoln Unified,648,58.6,61.3,25.9
859,Columbia Elementary,K-8,El Monte City,871,92.2,61.3,21.7
860,Don Callejon,K-8,Santa Clara Unified,976,33.4,61.3,23.8
861,Oliver Wendell Holmes Middle,6-8,Los Angeles Unified,1440,70.3,61.2,26.6
862,Stella Middle Charter Academy,5-8,Los Angeles Unified,523,96.9,61.2,26.1
863,Sequoia Elementary Charter,K-7,Sequoia Union Elementary,310,%,1190,48.1
864,Sunny Brae Middle,6-8,Arcata Elementary,229,56.8,61,19
865,Cappy Culver Elementary,K-8,San Miguel Joint Union,256,39.1,61,21.3
866,Fine Arts Academy,4-8,Atascadero Unified,207,24.6,61,25.8
867,Green Acres Middle,7-8,Visalia Unified,1104,59.5,60.9,24
868,Luther Burbank Middle,6-8,Burbank Unified,1057,35.5,60.9,23.4
869,Valley View Middle,6-8,Simi Valley Unified,1315,27.1,60.8,27.9
870,Woodland Elementary,K-8,Mariposa County Unified,393,48.4,60.8,20.6
871,Camino Elementary,K-8,Camino Union Elementary,416,55.3,60.7,19.8
872,Santa Fe Elementary,3-8,Baldwin Park Unified,361,75.1,60.6,25.7
873,Branciforte Middle,6-8,Santa Cruz City High,515,54.6,60.6,23.4
874,Lake Center Middle,6-8,Little Lake City Elementary,895,69.3,60.6,21.8
875,Woodrow Wilson Middle,6-8,Glendale Unified,1179,60.1,60.5,25
876,Gateway Middle,6-8,San Francisco Unified,313,43.1,60.5,22.3
877,Chula Vista Learning Community Charter,K-12,Chula Vista Elementary,1444,64.5,60.4,23.2
878,Academy of Personalized Learning,K-12,Gateway Unified,368,60.9,60.3,24.5
879,Feaster (Mae L.) Charter,K-8,Chula Vista Elementary,1223,86.4,60.3,20.3
880,Houghton-Kearney Elementary,K-8,Central Unified,220,65.0,60.3,24.4
881,Hart-Ransom Academic Charter,K-12,Hart-Ransom Union Elementary,331,39.9,60.2,25.4
882,Santa Fe Middle,6-8,Monrovia Unified,619,71.2,60.2,23.8
883,Somis Elementary,K-8,Somis Union,221,%,1065,73.8
884,Los Alisos Intermediate,7-8,Saddleback Valley Unified,966,47.8,59.8,24.1
885,Sylvandale Middle,7-8,Franklin-McKinley Elementary,734,81.7,59.7,19.8
886,Will C. Wood Middle,6-8,Alameda Unified,468,46.4,59.7,17.3
887,Anderson Valley Junior-Senior High,7-12,Anderson Valley Unified,232,79.7,59.7,12.2
888,Seven Hills Intermediate,5-8,Nevada City Elementary,381,32.6,59.5,22.4
889,Wilson C. Riles Middle,7-8,Center Joint Unified,660,62.6,59.4,22.7
890,Bolinas-Stinson Elementary,K-8,Bolinas-Stinson Union,105,27.6,59.4,11.6
891,Griffiths Middle,6-8,Downey Unified,1357,64.4,59.4,24.2
892,Westside Global Awareness Magnet,K-8,Los Angeles Unified,377,79.6,59.3,20.9
893,Francisco Middle,6-8,San Francisco Unified,572,80.2,59.3,17.8
894,Capistrano Connections Academy,K-12,Capistrano Unified,2812,38.6,59.2,30.2
895,Cedarlane Academy,K-8,Hacienda La Puente Unified,554,77.8,59.2,23
896,Longfellow Arts and Technology Middle,6-8,Berkeley Unified,512,50.0,59.1,18.2
897,Farb Middle,6-8,San Diego Unified,399,73.4,59.1,19
898,Stuart Mesa Elementary,K-8,Oceanside Unified,616,54.1,59.1,19.2
899,Gratton Charter,K-8,Gratton Elementary,115,7.8,59,28.7
900,Walker Junior High,7-8,Anaheim Union High,1108,46.8,58.9,27.7
901,Martinez Junior High,6-8,Martinez Unified,1016,33.9,58.9,23
902,Oak View Elementary,K-8,Oak View Union Elementary,413,47.2,58.8,21.7
903,Joan MacQueen Middle,6-8,Alpine Union Elementary,528,33.3,58.6,20.3
904,La Joya Middle,7-8,Visalia Unified,985,66.3,58.6,24
905,Gold Trail,4-8,Gold Trail Union Elementary,351,30.5,58.5,20.6
906,Tibby Elementary,K-8,Compton Unified,554,82.1,58.5,23
907,Judkins Middle,7-8,Lucia Mar Unified,447,55.7,58.5,19.4
908,STREAM Charter,K-8,Oroville City Elementary,269,32.3,58.5,38.4
909,Bullard Talent Project,K-8,Fresno Unified,764,57.5,58.4,23.1
910,Pleasant Valley Middle,6-8,Gold Oak Union Elementary,159,31.5,58.4,26.5
911,San Lorenzo Valley Middle,6-8,San Lorenzo Valley Unified,533,20.1,58.3,23.1
912,American Canyon Middle,6-8,Napa Valley Unified,1041,41.2,58.3,24.2
913,Cali Calmecac Language Academy,K-8,Windsor Unified,1081,47.6,58.3,23
914,NextGeneration STEAM Academy,K-8,Banta Elementary,315,36.5,58.2,22.5
915,Woodside K-8,K-8,San Juan Unified,562,49.5,58.1,26.7
916,Camino Nuevo Academy #2,K-8,Los Angeles Unified,563,96.1,58,23.4
917,Liberty Middle,7-8,Lemoore Union Elementary,582,68.0,57.8,20.7
918,Royal Oak Middle,7-8,Charter Oak Unified,712,59.6,57.8,23.7
919,High Technical Middle Media Arts,6-8,San Diego Unified,312,49.7,57.8,20.8
920,Foothill Intermediate,7-8,Marysville Joint Unified,190,46.8,57.7,21.1
921,La Cumbre Junior High,7-8,Santa Barbara Unified,432,38.0,57.7,18.7
922,Plaza Elementary,K-8,Plaza Elementary,190,44.2,57.6,21.1
923,Lyle S. Briggs Fundamental,K-8,Chino Valley Unified,835,49.9,57.6,26
924,Norco Intermediate,7-8,Corona-Norco Unified,729,40.1,57.5,23.5
925,Fremont Elementary,K-8,Alhambra Unified,567,72.8,57.5,23.6
926,Oak Grove Middle,6-8,Jamul-Dulzura Union Elementary,230,46.5,57.5,20.9
927,Edward Harris Junior Middle,7-8,Elk Grove Unified,1176,74.2,57.5,21.3
928,Bear River,4-8,Wheatland,566,46.3,57.5,17.6
929,Butteville Elementary,K-8,Butteville Union Elementary,220,55.0,57.4,22
930,Pasadena Rosebud Academy Middle,7-8,Pasadena Unified,39,51.3,57.4,19.5
931,Rising Sun Montessori,1-8,Buckeye Union Elementary,102,4.9,57.3,25.5
932,Grimmway Academy,K-8,Kern County Office Of Education,679,87.0,57.3,26.1
933,Grass Valley Charter,K-8,Grass Valley Elementary,521,23.2,57.3,24.8
934,General Grant Middle,6-8,Kings Canyon Joint Unified,507,90.5,57.3,23
935,Jane Addams Middle,6-8,Lawndale Elementary,917,76.4,57.3,21.8
936,Dunsmuir Elementary,K-8,Dunsmuir Elementary,89,93.3,57.3,14.8
937,High Desert,6-8,Acton-Agua Dulce Unified,259,40.9,57.2,21.5
938,Santa Ynez Elementary,2-8,College Elementary,157,51.0,57.2,26.1
939,Woodland Star Charter,K-8,Sonoma Valley Unified,249,32.1,57.2,22.6
940,Saddleback High,7-12,Santa Ana Unified,1627,94.0,57.2,21.6
941,Beattie Middle,6-8,Redlands Unified,1164,54.2,57.2,28.3
942,National University Academy,K-12,Lakeside Union Elementary,797,43.7,56.9,22.7
943,Canyon Lake Middle,6-8,Lake Elsinore Unified,1154,52.5,56.9,26.8
944,Santa Rosa Academy,K-12,Menifee Union Elementary,1544,22.5,56.8,22.3
945,Valor Academy Middle,5-8,Los Angeles Unified,486,90.7,56.8,23.1
946,Orcutt Academy Charter,K-12,Orcutt Union Elementary,761,25.9,56.8,24.5
947,Pathways Charter,K-12,Harmony Union Elementary,477,38.0,56.7,19
948,Sunset Elementary,K-8,Ventura Unified,349,55.0,56.7,24.9
949,Marshall Fundamental,6-12,Pasadena Unified,1971,63.3,56.6,24.3
950,Rafer Johnson Junior High,7-8,Kingsburg Elementary Charter,436,56.0,56.5,18.9
951,Santa Clarita Valley International,K-12,William S. Hart Union High,1004,29.3,56.5,23.9
952,Joe Walker Middle,6-8,Westside Union Elementary,931,42.5,56.5,26.6
953,Folsom Cordova K-8 Community Charter,K-8,Folsom-Cordova Unified,163,1.8,56.4,27.1
954,Nevada City School of the Arts,K-8,Nevada County Office Of Education,407,50.4,56.4,20.3
955,Mesa View Middle,6-8,Yucaipa-Calimesa Joint Unified,853,51.9,56.3,21.8
956,Dairyland Elementary,4-8,Alview-Dairyland Union Elementary,206,66.0,56.1,20.6
957,Mt. Vernon Elementary,K-8,Lemon Grove,612,73.2,56.1,25.5
958,Washington Elementary,K-8,Lindsay Unified,701,86.0,56,24.1
959,Mira Vista Elementary,K-8,West Contra Costa Unified,531,55.4,56,21.2
960,Daniel Lewis Middle,6-8,Paso Robles Joint Unified,761,48.6,55.9,23
961,Mattole Valley Charter (#159),K-12,Mattole Unified,670,68.2,55.9,19.7
962,Atascadero Middle,6-8,Atascadero Unified,806,38.7,55.9,23
963,Cucamonga Middle,6-8,Central Elementary,815,60.9,55.8,23.9
964,Harriet G. Eddy Middle,7-8,Elk Grove Unified,971,52.7,55.8,17.6
965,Prescott Junior High,7-8,Stanislaus Union Elementary,707,60.0,55.7,24.3
966,Capay Joint Union Elementary,K-8,Capay Joint Union Elementary,189,51.3,55.5,21
967,Union Hill Middle,7-8,Union Hill Elementary,123,25.2,55.5,17.5
968,De Anza Magnet,K-8,El Centro Elementary,478,65.7,55.5,26.5
969,Whitmore Charter School of Art & Technology,K-8,Ceres Unified,422,43.6,55.4,20
970,University Preparation Charter School At Csu Channel Islands,K-8,Pleasant Valley,482,57.3,55.4,22.9
971,Caroldale Learning Community,K-8,Los Angeles Unified,959,67.9,55.4,23.9
972,Lake Don Pedro Elementary,K-8,Mariposa County Unified,167,62.3,55.4,18.5
973,John Muir Middle,6-8,San Jose Unified,1197,47.3,55.3,21.7
974,Loyalton High,7-12,Sierra-Plumas Joint Unified,158,32.3,55.3,15.8
975,James Jordan Middle,6-8,Los Angeles Unified,386,87.3,55.3,24.1
976,Lakeside Middle,6-8,Little Lake City Elementary,654,74.6,55.3,21.8
977,Community Collaborative Charter,K-12,Acton-Agua Dulce Unified,1427,32.9,55.2,16.4
978,General Shafter Elementary,K-8,General Shafter Elementary,153,75.2,55.1,17
979,Valley Life Charter,K-12,Tulare County Office Of Education,638,21.6,55.1,22
980,Aveson Global Leadership Academy,6-12,Pasadena Unified,414,32.1,55.1,27.6
981,Mayfair High,7-12,Bellflower Unified,3023,54.6,55,22.2
982,Cajon Park Elementary,K-8,Santee,1014,34.6,55,25.3
983,Urban Discovery Academy Charter,K-8,San Diego Unified,430,28.1,54.9,18.6
984,Walnut Grove Intermediate,7-8,West Covina Unified,354,78.3,54.9,18.6
985,West Cottonwood Junior High,5-8,Cottonwood Union Elementary,392,52.3,54.9,21.7
986,Pepper Drive Elementary,K-8,Santee,923,59.1,54.8,27.1
987,Monte Vista Middle,6-8,Pleasant Valley,829,38.7,54.8,23
988,Vandenberg Middle,7-8,Lompoc Unified,802,51.6,54.7,21.6
989,Doty Middle,6-8,Downey Unified,1395,61.2,54.6,26.8
990,Rio Calaveras Elementary,K-8,Stockton Unified,1018,82.1,54.5,31.8
991,California Virtual Academy @ San Mateo,K-12,Jefferson Elementary,801,38.5,54.5,21
992,Orchard Park,K-8,Antioch Unified,815,59.6,54.4,27.1
993,Washington Elementary,K-8,Merced River Union Elementary,88,83.0,54.4,22
994,Children's Community Charter,K-8,Paradise Unified,231,54.1,54.3,23.1
995,Father Keith B. Kenny,K-8,Sacramento City Unified,437,90.2,54.3,29.1
996,Leroy L. Doig Intermediate,7-8,Garden Grove Unified,792,85.6,54.3,24.7
997,California Connections Academy @ Ripon,K-12,Ripon Unified,879,41.2,54.3,36.6
998,Telesis Academy of Science & Math,K-8,Rowland Unified,813,67.9,54.3,25.4
999,Scott Valley Junior High,6-8,Scott Valley Unified,143,60.8,54.2,23.8
1000,Golden Oak Montessori of Hayward,1-8,Hayward Unified,222,%,1105,33.3
1001,Oak Park Preparatory Academy,7-8,Sacramento City Unified,124,83.1,54.1,17.7
1002,Magnolia Science Academy Santa Ana,6-12,State Board Of Education - Magnolia Science Academy Santa A,144,61.1,54.1,13
1003,Gidley Elementary,K-8,El Monte City,508,91.5,54,19.5
1004,Howard Gardner Community Charter,K-8,Chula Vista Elementary,204,85.3,53.9,22.6
1005,Stauffer Middle,6-8,Downey Unified,1465,72.4,53.9,25.7
1006,Juan Cabrillo Middle,6-8,Santa Clara Unified,894,53.2,53.8,22.9
1007,Wright Elementary,K-8,El Monte City,892,91.6,53.8,23.4
1008,Veritas Elementary,K-8,Manteca Unified,726,38.6,53.8,27.9
1009,Pacific Coast Charter,K-12,Pajaro Valley Unified,243,45.7,53.8,24.3
1010,John Muir,K-12,San Diego Unified,289,51.9,53.8,19.2
1011,Camptonville Academy,K-12,Camptonville Elementary,462,57.4,53.7,24.3
1012,Palmdale Learning Plaza,K-8,Palmdale Elementary,802,76.9,53.7,24.3
1013,Washington Irving Mid School Math Music And Engr Magnet,6-8,Los Angeles Unified,676,87.3,53.7,20.4
1014,Columbus Tustin Middle,6-8,Tustin Unified,907,72.8,53.7,26.6
1015,KIPP San Francisco Bay Academy,5-8,San Francisco Unified,374,79.7,53.6,37.4
1016,Holtville Junior High,6-8,Holtville Unified,285,78.3,53.6,23.7
1017,Camino Nuevo Charter Academy #4,K-8,Los Angeles Unified,629,90.8,53.6,20.2
1018,Ladera Vista Junior High School Of The Arts,7-8,Fullerton Elementary,878,44.5,53.6,23.7
1019,Pescadero Elementary and Middle,K-8,La Honda-Pescadero Unified,168,57.7,53.5,14
1020,Cortez Elementary,K-8,Pomona Unified,696,83.6,53.5,25.7
1021,Gorman Elementary,K-8,Gorman Joint,103,62.1,53.5,20.6
1022,George K. Porter Middle,6-8,Los Angeles Unified,1590,70.5,53.5,28.9
1023,Cesar E. Chavez Middle,6-8,San Bernardino City Unified,941,80.6,53.5,24.7
1024,Santa Barbara Junior High,7-8,Santa Barbara Unified,745,48.2,53.4,20.6
1025,Hawthorne Middle,6-8,Hawthorne,919,84.6,53.4,24.1
1026,St. HOPE Public School 7,K-8,Sacramento K-8 7 School,7,Sacramento,Unified,K-8
1027,Art Freiler,K-8,Tracy Joint Unified,895,43.2,53.3,24.1
1028,Rio Hondo Elementary,K-8,El Monte City,830,78.4,53.2,21.2
1029,Marvin A. Dutcher Middle,6-8,Turlock Unified,711,60.8,53.2,22.9
1030,Dickison Elementary,K-7,Compton Unified,827,86.1,53.2,25.8
1031,Heron,K-8,Natomas Unified,1032,30.6,53,24
1032,Harry Bridges Span,K-8,Los Angeles Unified,1195,90.9,52.9,23.9
1033,San Jacinto Valley Academy,K-12,San Jacinto Unified,1405,56.9,52.9,23.4
1034,Woodcrest Junior High,7-8,Chino Valley Unified,439,70.4,52.9,23.1
1035,Ballico Elementary,3-8,Ballico-Cressey Elementary,260,71.2,52.8,21.6
1036,Mitchell Intermediate,7-8,Atwater Elementary,854,79.3,52.8,23
1037,Lemon Grove Academy for the Sciences and Humanities,K-8,Lemon Grove,1166,78.6,52.6,23.3
1038,Ysmael Villegas Middle,6-8,Alvord Unified,1356,61.9,52.6,25.5
1039,Glen Edwards Middle,6-8,Western Placer Unified,858,47.3,52.6,23.8
1040,Blue Oak Charter,K-8,Chico Unified,433,58.2,52.5,22.7
1041,Stonegate Elementary,K-8,Washington Unified,811,46.5,52.5,21.9
1042,Guajome Park Academy Charter,K-12,Vista Unified,1342,49.0,52.4,22.3
1043,Newark Junior High,7-8,Newark Unified,935,48.6,52.4,22.8
1044,Turtle Bay,K-8,Redding Elementary,827,57.0,52.4,25
1045,Bidwell Junior High,6-8,Chico Unified,568,48.8,52.3,24.6
1046,Lemoore University Elementary Charter,5-8,Lemoore Union Elementary,240,40.0,52.3,24
1047,Knightsen Elementary,K-8,Knightsen Elementary,534,40.8,52.2,21.3
1048,Christa McAuliffe Middle,7-8,Lodi Unified,755,52.5,52.2,20.9
1049,Greenleaf Elementary,K-8,Oakland Unified,611,84.9,52.2,25.4
1050,Park View Middle,6-8,Yucaipa-Calimesa Joint Unified,964,56.3,52,24.7
1051,Edgewood Academy,K-8,Bassett Unified,613,87.6,52,25.5
1052,Benjamin Foxen Elementary,K-8,Blochman Union Elementary,173,64.7,51.9,21.6
1053,Hamilton Meadow Park,K-8,Novato Unified,661,66.9,51.8,20.6
1054,Lakeview Junior High,7-8,Orcutt Union Elementary,478,49.0,51.8,21.7
1055,Laurel Street Elementary,K-8,Compton Unified,647,79.9,51.8,25.8
1056,Paul L. Cato Middle,6-8,Bakersfield City,944,71.9,51.7,26.2
1057,Coastal Grove Charter,K-8,Arcata Elementary,221,52.0,51.6,15.7
1058,La Vina Elementary,K-8,Madera Unified,266,95.9,51.6,20.4
1059,Healdsburg Junior High,6-8,Healdsburg Unified,366,56.3,51.6,21.5
1060,Brock Elliott Elementary,K-8,Manteca Unified,812,56.7,51.5,28
1061,Woodrow Wilson Junior High,7-8,Hanford Elementary,565,73.8,51.5,22.6
1062,Lorbeer Middle,7-8,Pomona Unified,730,55.6,51.4,23.5
1063,Mountain View Elementary,K-7,Visalia Unified,597,74.0,51.4,28.4
1064,Selby Lane Elementary,K-8,Redwood City Elementary,679,71.1,51.4,21.9
1065,Turlock Junior High,7-8,Turlock Unified,1329,61.3,51.3,25.5
1066,O. J. Actis Junior High,7-8,Panama-Buena Vista Union,666,70.7,51.3,21.4
1067,Abbott Middle,6-8,San Mateo-Foster City,808,37.1,51.3,22.4
1068,Martin Luther King Junior Middle,7-8,Hayward Unified,817,81.6,51.3,22.6
1069,Lewis H. Britton Middle,6-8,Morgan Hill Unified,627,46.4,51.2,25
1070,Foothill Knolls Stem Academy Of Innovation,K-8,Upland Unified,508,52.8,51.2,24.1
1071,Kings River Elementary,K-8,Kings River Union Elementary,449,90.7,51.2,21.3
1072,Carpinteria Middle,6-8,Carpinteria Unified,490,61.0,51.2,19.6
1073,Izaak Walton Intermediate,7-8,Garden Grove Unified,574,80.5,51.2,28.7
1074,Anthony C. Traina Elementary,K-8,Jefferson Elementary,783,30.4,51.1,21.7
1075,Antelope Crossing Middle,6-8,Dry Creek Joint Elementary,1000,53.5,51.1,24.3
1076,James E. Potter Intermediate,7-8,Fallbrook Union Elementary,807,69.3,51.1,23.7
1077,Ucla Community K-12,K-12,Los Angeles Unified,998,87.8,50.9,21.6
1078,Roseland Charter,K-12,Roseland,1220,85.2,50.9,21.4
1079,Discovery Charter,5-8,Tracy Joint Unified,368,15.2,50.8,24.5
1080,Academy for Academic Excellence,K-12,Apple Valley Unified,1412,27.8,50.8,22
1081,North Oakland Community Charter,K-8,Oakland Unified,219,21.9,50.8,21.9
1082,Guerneville Elementary,K-8,Guerneville Elementary,281,65.1,50.8,18.7
1083,Browns Elementary,K-8,Browns Elementary,146,53.4,50.7,16.2
1084,Quail Valley Middle,6-8,Snowline Joint Unified,1083,70.9,50.7,23.5
1085,High Technical Middle North County,6-8,Sbc - High Technical High,334,49.4,50.7,22.2
1086,Great Valley Academy - Manteca,K-8,New Jerusalem Elementary,773,29.0,50.6,26.6
1087,Clifford Elementary,K-8,Redwood City Elementary,700,34.4,50.6,21.2
1088,Wilson Junior High,7-8,El Centro Elementary,658,80.7,50.5,25.3
1089,La Vina Middle,6-8,Delano Union Elementary,700,68.7,50.5,21.8
1090,Robert L. McCaffrey Middle,7-8,Galt Joint Union Elementary,839,57.2,50.5,20.9
1091,Commodore Stockton Skills,K-8,Stockton Unified,1087,67.4,50.5,31
1092,San Marcos Middle,6-8,San Marcos Unified,1254,73.9,50.4,26.1
1093,Matthew Gage Middle,7-8,Riverside Unified,939,60.4,50.4,22.9
1094,Live Oak Middle,7-8,Tulare City,445,58.0,50.4,23.4
1095,De Anza Academy of Technology and the Arts,6-8,Ventura Unified,906,58.6,50.4,25.8
1096,Riverbank Language Academy,K-8,Riverbank Unified,565,66.9,50.4,25.6
1097,American River Charter,K-12,Black Oak Mine Unified,192,39.1,50.3,21.3
1098,Santiago Middle,7-8,Orange Unified,1031,59.0,50.3,25.1
1099,Downtown Value,K-8,Los Angeles Unified,455,71.2,50.3,28.4
1100,Delta Home Charter,K-8,New Jerusalem Elementary,111,27.9,50.2,22.2
1101,Vallejo Charter,K-8,Vallejo City Unified,514,46.5,50.2,25.7
1102,August Knodt Elementary,K-8,Manteca Unified,870,75.4,50.1,28
1103,Princeton Junior-Senior High,7-12,Princeton Joint Unified,97,70.1,50.1,12.1
1104,Charter Community School Home Study Academy,K-12,El Dorado County Office Of Education,463,32.6,50,19.2
1105,Calaveras Elementary,K-8,Hollister,507,83.4,50,23
1106,Columbia Elementary,K-8,Columbia Union,512,57.0,50,22.2
1107,Westwood High,7-12,Westwood Unified,82,59.8,50,13.6
1108,California Montessori Project - Capitol Campus,K-8,Sacramento City Unified,329,25.5,49.9,20.5
1109,Gladys Poet-Christian Elementary,K-8,Tracy Joint Unified,583,36.2,49.9,24.2
1110,Gompers K-8,K-8,Long Beach Unified,738,46.5,49.8,25.4
1111,Waukena Joint Union Elementary,K-8,Waukena Joint Union Elementary,239,86.2,49.8,21.7
1112,Letha Raney Intermediate,6-8,Corona-Norco Unified,711,64.4,49.8,21.5
1113,Winton Middle,6-8,Winton,569,90.2,49.7,21
1114,Navelencia Middle,6-8,Kings Canyon Joint Unified,331,85.2,49.7,23.6
1115,Tevis Junior High,7-8,Panama-Buena Vista Union,782,54.1,49.7,25.2
1116,West Marin Elementary,2-8,Shoreline Unified,123,48.8,49.7,15.3
1117,Waverly Elementary,K-8,Linden Unified,333,49.0,49.6,23.7
1118,Fort Irwin Middle,6-8,Silver Valley Unified,277,37.2,49.6,17.3
1119,Hillview Middle,6-8,East Whittier City Elementary,638,67.1,49.6,22
1120,Sherman Thomas Charter,K-8,Madera Unified,206,47.6,49.5,22.8
1121,Sol Aureus College Preparatory,K-8,Sacramento City Unified,303,33.3,49.5,20.2
1122,Silas Bartsch,K-8,Kings Canyon Joint Unified,679,83.7,49.4,26.1
1123,Oak Valley Elementary,K-8,Oak Valley Union Elementary,558,77.1,49.3,21.4
1124,James Workman Middle,6-8,Palm Springs Unified,1428,74.2,49.2,25
1125,Alvina Elementary Charter,K-8,Alvina Elementary,183,77.1,49.2,20.3
1126,Summerville Elementary,K-8,Summerville Elementary,403,48.6,49.1,23.7
1127,Salida Middle School - Vella Campus,6-8,Salida Union Elementary,883,66.0,49,25.2
1128,Roosevelt International Middle,6-8,San Diego Unified,1013,74.2,49,22.5
1129,Ridgepoint Elementary,K-8,Twin Rivers Unified,707,76.7,49,25.2
1130,McKinleyville Middle,6-8,McKinleyville Union Elementary,376,42.8,49,17.9
1131,Mountain View Middle,6-8,Beaumont Unified,1025,58.9,48.9,25.6
1132,Kelly Elementary,K-8,Compton Unified,836,83.0,48.9,23.2
1133,Stonecreek Junior High,7-8,Panama-Buena Vista Union,880,73.5,48.8,22.5
1134,Emerson Community Charter,6-8,Los Angeles Unified,605,50.4,48.8,23.2
1135,Manuel F. Cunha Intermediate,6-8,Cabrillo Unified,776,45.2,48.8,24.2
1136,School of Engineering & Sciences,7-12,Sacramento City Unified,536,74.6,48.7,26.8
1137,Mission Elementary,K-8,Mission Union Elementary,128,12.5,48.7,21.3
1138,Hollydale,K-8,Paramount Unified,1077,90.1,48.7,24.4
1139,KIPP Scholar Academy,5-8,Los Angeles Unified,391,93.9,48.7,20.5
1140,Brittan Elementary,K-8,Brittan Elementary,466,54.3,48.7,20.2
1141,Aspire Pacific Academy,6-12,Los Angeles Unified,490,91.0,48.6,25.7
1142,Foresthill Divide,K-8,Foresthill Union Elementary,399,40.1,48.6,19.9
1143,Menifee Valley Middle,6-8,Menifee Union Elementary,1077,50.4,48.6,26.2
1144,Bella Mente Montessori Academy,K-8,Vista Unified,610,19.2,48.6,22.5
1145,Hoover Middle,6-8,Long Beach Unified,869,65.7,48.5,26.3
1146,Sierra Oaks K-8,K-8,San Juan Unified,705,41.1,48.5,27.1
1147,Pleasant Valley Elementary,4-8,Penn Valley Union Elementary,207,40.6,48.5,34.5
1148,Hoover Elementary,K-8,Redwood City Elementary,756,76.1,48.4,23.6
