Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
551,Wildflower Open Classroom,K-8,Chico Unified,150,26.7,76,30
552,James Irvine Intermediate,7-8,Garden Grove Unified,846,74.6,75.9,26.4
553,Bernal Intermediate,7-8,Oak Grove Elementary,782,32.7,75.9,24.4
554,Classical Academy,K-8,Escondido Union,1329,19.5,75.8,26.5
555,Castillero Middle,6-8,San Jose Unified,1167,31.4,75.8,21.2
556,Placerita Junior High,7-8,William S. Hart Union High,1053,32.4,75.8,24.4
557,Baird Middle,5-8,Fresno Unified,607,50.4,75.8,22.4
558,Mesa Elementary,K-8,Mesa Union Elementary,604,35.3,75.7,23.2
559,Rudecinda Sepulveda Dodson Middle,6-8,Los Angeles Unified,1904,61.7,75.6,27.2
560,Vallecitos Elementary,K-8,Vallecitos Elementary,190,87.4,75.6,19
561,American Indian Public Charter,5-8,Oakland Unified,131,84.0,75.6,26.2
562,Petaluma Junior High,7-8,Petaluma Joint Union High,638,35.7,75.5,22
563,Spring View Middle,6-8,Ocean View,786,38.2,75.5,24.5
564,Heritage Intermediate,6-8,Etiwanda Elementary,1206,40.9,75.5,25.1
565,Hickman Charter,K-8,Hickman Community Charter,571,30.1,75.4,20.3
566,Fall River Junior-Senior High,7-12,Fall River Joint Unified,241,49.0,75.4,16
567,Latimer Elementary,K-7,Moreland,338,32.3,75.4,22.5
568,Sundale Elementary,K-8,Sundale Union Elementary,812,43.6,75,24.6
569,Marina Middle,6-8,San Francisco Unified,779,78.1,74.9,19
570,Community Montessori Charter,K-8,Dehesa Elementary,478,12.6,74.9,23.9
571,Stanwood A. Murphy Elementary,K-8,Scotia Union Elementary,222,64.0,74.9,20.1
572,Lone Hill Middle,6-8,Bonita Unified,953,38.9,74.8,27.2
573,Sequoia Middle,6-8,Conejo Valley Unified,1130,25.9,74.7,25.1
574,Bethune K-8,K-8,San Diego Unified,614,66.3,74.6,25.5
575,Ocean View Hills,4-8,San Ysidro Elementary,659,99.5,74.5,27.4
576,Keyes to Learning Charter,K-12,Keyes Union,336,25.3,74.5,22.4
577,Robert Louis Stevenson Intermediate,6-8,Saint Helena Unified,272,33.5,74.4,13.6
578,Citizens of the World 2,K-8,Los K-8 2 World,2,Los,Unified,K-8
579,Carlton Oaks Elementary,K-8,Santee,840,28.3,74.4,26.2
580,Mountain View Middle,5-8,Columbia Elementary,340,33.8,74.3,21.2
581,Santa Ynez Valley Charter,K-8,College Elementary,205,16.6,74.3,20.5
582,Walter Reed Middle,6-8,Los Angeles Unified,1610,52.3,74.1,25.9
583,Los Angeles Center for Enriched Studies,6-12,Los Angeles Unified,1648,54.7,73.9,24.9
584,Silverado Middle,6-8,Dry Creek Joint Elementary,1099,20.9,73.8,24.4
585,Renaissance at Mathson,6-8,Alum Rock Union Elementary,289,83.0,73.8,22.2
586,Vista Magnet Middle School Of Technology Science And Math,6-8,Vista Unified,837,55.9,73.8,20.4
587,Kairos Public School Vacaville Academy,K-8,Vacaville Unified,494,8.1,73.8,24.7
588,Idyllwild,K-8,Hemet Unified,338,59.5,73.7,19.8
589,Valley Alternative Magnet,K-12,Los Angeles Unified,619,68.5,73.5,23.8
590,Magnolia Elementary,K-8,Magnolia Union Elementary,124,6.5,73.5,24.8
