Rank,SchoolName,Grades,District,StudentCount,FreeDiscLunch,AverageScore,Rank2016
3957,Hunt Elementary,K-5,Newman-Crows Landing Unified,337,73.3,28.5,24
3958,Elder Creek Elementary,K-6,Sacramento City Unified,792,91.9,28.5,29.3
3959,Woodrow Wilson Elementary,K-6,Selma Unified,423,84.9,28.5,26.4
3960,Albert F. Biella Elementary,K-6,Santa Rosa Elementary,414,69.8,28.5,20.7
3961,Manuel L. Real Elementary,K-5,Val Verde Unified,684,92.5,28.5,24.4
3962,Pio Pico Elementary,K-5,Santa Ana Unified,620,93.7,28.5,26.9
3963,Cesar Chavez Elementary,K-6,Calexico Unified,971,65.9,28.5,26.2
3964,Boone Elementary,K-5,San Diego Unified,495,81.4,28.5,24.7
3965,Ella Elementary,K-6,Marysville Joint Unified,550,94.9,28.5,25
3966,Anza Elementary,K-5,Cajon Valley Union,568,93.3,28.5,21.8
3967,Arts In Action Community Charter,K-5,Los Angeles Unified,335,97.6,28.4,23.9
3968,Rio Lindo Elementary,K-5,Rio Elementary,514,82.7,28.4,24.4
3969,Harbor Springs Charter,K-12,Julian Union Elementary,795,45.8,28.4,27.4
3970,George Eisenhut Elementary,K-6,Stanislaus Union Elementary,509,83.1,28.4,25.4
3971,Corona Avenue Elementary,K-5,Los Angeles Unified,888,91.3,28.4,23.3
3972,Boyd Elementary,K-5,Rialto Unified,563,94.7,28.4,28.1
3973,Bernard L. Hughes Elementary,K-6,Empire Union Elementary,521,79.9,28.3,26
3974,Estudillo Elementary,K-5,San Jacinto Unified,727,77.0,28.3,27.9
3975,Santa Susana Elementary,K-6,Simi Valley Unified,353,71.4,28.3,22
3976,Liggett Street Elementary,K-5,Los Angeles Unified,787,87.8,28.3,24.5
3977,TownGate Elementary,K-5,Moreno Valley Unified,796,83.0,28.3,25.6
3978,Thomas Page Academy,K-8,Cotati-Rohnert Park Unified,424,72.4,28.3,28.2
3979,Barfield Elementary,K-6,Pomona Unified,348,93.1,28.2,24.8
3980,Chatom Elementary,K-5,Chatom Union,414,83.6,28.2,24.3
3981,Vista Colorado Elementary,K-5,Needles Unified,452,78.8,28.2,26.5
3982,Monson-Sultana Elementary,K-8,Monson-Sultana Joint Union Elementary,451,87.6,28.2,23.7
3983,Cooley Ranch Elementary,K-6,Colton Joint Unified,646,79.0,28.2,23.9
3984,Cutler Elementary,K-5,Cutler-Orosi Joint Unified,703,94.3,28.2,22.6
3985,Valley Springs Elementary,K-6,Calaveras Unified,493,55.8,28.1,25.9
3986,Pathways to College,K-8,Hesperia Unified,332,90.1,28.1,27.6
3987,McKevett Elementary,K-5,Santa Paula Unified,384,82.0,28.1,22.5
3988,Montera Elementary,K-6,Ontario-Montclair,646,88.5,28.1,24.8
3989,Citrus Avenue Elementary,K-5,Chico Unified,316,86.4,28.1,22.5
3990,Riverbank Language Academy,K-8,Riverbank Unified,565,66.9,28.1,25.6
3991,Johnson Park Elementary,K-6,Marysville Joint Unified,368,90.5,28.1,24.5
3992,Lydia Jackson Elementary,K-5,Whittier City Elementary,444,91.2,28.1,24.6
3993,Aldama Elementary,K-6,Los Angeles Unified,564,73.9,28.1,22.5
3994,Fremont Elementary,K-6,Riverside Unified,542,92.3,28,23.5
3995,Jack London Elementary,K-6,Piner-Olivet Union Elementary,331,39.3,28,23.6
3996,Woodrow Elementary,K-5,Sylvan Union Elementary,404,74.0,28,25.2
3997,Jerry Voorhis Elementary,K-5,Mountain View Elementary,480,94.4,28,25.2
3998,Oak View Elementary,K-5,Ocean View,668,97.0,28,26.7
3999,Viking Elementary,K-6,Fresno Unified,689,94.3,28,23.7
4000,Bellingham Elementary,K-5,Los Angeles Unified,631,90.3,28,24.2
901,Malcolm X Elementary,K-5,Berkeley Unified,571,31.0,85.3,19
902,El Oro Way Charter For Enriched Studies,K-5,Los Angeles Unified,502,25.9,85.2,26.4
903,Valley View Elementary,K-6,Los Angeles Unified,230,17.8,85.2,23
904,Benjamin Franklin Elementary,K-6,Glendale Unified,656,19.5,85.2,25.2
905,Monarch Grove Elementary,K-5,San Luis Coastal Unified,332,39.2,85.2,22.1
906,Eagle Canyon Elementary,K-6,Chino Valley Unified,567,34.9,85.2,25.7
907,Centennial Elementary,K-6,Rosedale Union Elementary,513,17.4,85.2,22.3
908,Windrows Elementary,K-5,Etiwanda Elementary,619,30.9,85.2,23.8
909,Shoal Creek Elementary,K-5,Poway Unified,594,9.8,85.1,24.7
910,Mesa Robles,K-8,Hacienda La Puente Unified,1078,41.8,85.1,24.5
911,Cobblestone Elementary,K-6,Rocklin Unified,417,21.1,85.1,23.1
912,Tierra Bonita Elementary,K-5,Poway Unified,470,12.8,85,23.5
913,Vencil Brown Elementary,K-5,Roseville City Elementary,379,19.8,85,23.6
914,Butterfield Ranch Elementary,K-6,Chino Valley Unified,734,26.8,85,29.3
915,Sellers Elementary,K-5,Glendora Unified,607,17.5,85,25.2
916,La Madera Elementary,K-6,Saddleback Valley Unified,627,24.9,85,28.5
917,Chula Vista Hills Elementary,K-6,Chula Vista Elementary,534,33.7,85,25.4
918,Laguna Niguel Elementary,K-5,Capistrano Unified,542,19.9,85,30.1
919,Rio del Mar Elementary,K-6,Pajaro Valley Unified,579,11.4,84.9,24.1
920,Lincoln Elementary,K-5,Torrance Unified,459,33.8,84.9,27
921,Eastvale Elementary,K-6,Corona-Norco Unified,1324,28.5,84.8,28.1
922,Third Street Elementary,K-5,Los Angeles Unified,691,20.6,84.8,25.5
923,Gettysburg Elementary,K-6,Clovis Unified,668,49.9,84.8,29
924,Post Elementary,K-6,Garden Grove Unified,535,65.6,84.8,22.2
925,Turtleback Elementary,K-5,Poway Unified,604,15.9,84.8,24.1
926,Carleton P. Lightfoot Elementary,K-5,Etiwanda Elementary,577,31.0,84.8,24
927,Ronald Reagan Elementary,K-6,Corona-Norco Unified,1219,27.4,84.8,27
928,Wilder's Preparatory Academy Charter,K-5,Inglewood Unified,381,77.2,84.7,21.1
929,Valley Charter Elementary,K-5,Los Angeles Unified,264,27.7,84.7,22
930,Red Hawk Elementary,K-5,Temecula Valley Unified,543,31.5,84.6,24.6
931,Mark Keppel Elementary,K-5,Glendale Unified,1023,36.8,84.5,26.9
932,Celerity Troika Charter,K-8,Los Angeles Unified,609,67.8,84.5,22.5
933,Canyon Rim Elementary,K-6,Orange Unified,684,7.8,84.5,26.3
934,California Elementary,K-6,Newport-Mesa Unified,411,44.0,84.5,25.6
935,Round Meadow Elementary,K-5,Las Virgenes Unified,591,4.2,84.4,23.6
936,Walnut Canyon Elementary,K-5,Moorpark Unified,461,39.3,84.4,24.2
937,Ocean View Elementary,K-5,East Whittier City Elementary,765,31.6,84.4,27.3
938,Sierra Madre Elementary,K-5,Pasadena Unified,666,20.3,84.3,25.6
939,Los Primeros School of Sciences & Arts,K-8,Pleasant Valley,560,18.8,84.3,24.3
940,Reed Elementary,K-5,San Jose Unified,459,21.1,84.3,25.5
941,Ocean Shore Elementary,K-8,Pacifica,435,12.4,84.3,24.1
942,Pacific Beach Elementary,K-5,San Diego Unified,393,33.3,84.2,24.5
943,Twelve Bridges Elementary,K-5,Western Placer Unified,631,8.4,84.2,24.2
944,Roy Cloud Elementary,K-8,Redwood City Elementary,788,7.5,84.2,26.2
945,Lockhurst Drive Charter Elementary,K-5,Los Angeles Unified,398,25.9,84.2,24.8
946,Vallemar Elementary,K-8,Pacifica,534,14.0,84.2,25.4
947,K. I. Jones Elementary,K-5,Fairfield-Suisun Unified,747,32.9,84.2,27.6
948,Las Flores Elementary,K-5,Capistrano Unified,572,15.6,84.2,30.1
