,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
315,Dos Palos Oro Loma Joint Unified,36.35,61.6,12.9,36.95,22.3,14.65
312,Lone Pine Unified,36.7,36.7,37.3,36.9,39.2,-2.3
275,Calaveras County Office Of Education,40.6,40.6,28.7,36.63333333,,36.63333333
318,Fillmore Unified,35.55,56.7,17.55,36.6,21.5,15.1
199,Klamath-Trinity Joint Unified,49.6,49.6,9.4,36.2,,36.2
281,State Board Of Education - Lifeline Education Charter,40.1,40.1,27.8,36,,36
360,Delhi Unified,28.6,48.2,31.06666667,35.95555556,30.4,5.555555556
337,Armona Union Elementary,33.3,52.3,21.6,35.73333333,22.6,13.13333333
262,Los Molinos Unified,42.5,42.5,21.75,35.58333333,32.1,3.483333333
321,Denair Unified,35.25,55,16.2,35.48333333,,35.48333333
261,Corcoran Joint Unified,42.5,42.5,21,35.33333333,,35.33333333
330,Spencer Valley Elementary,34.35,48,22.9,35.08333333,,35.08333333
338,Madera Unified,33.2,45.9,25.92631579,35.00877193,29.8,5.20877193
352,Burton Elementary,31.4,43.6,29,34.66666667,32,2.666666667
343,Montebello Unified,32.21666667,42.825,28.81764706,34.61977124,28.4,6.219771242
256,Laton Joint Unified,42.8,42.8,17.7,34.43333333,26.1,8.333333333
377,Cutler-Orosi Joint Unified,22.6,36.9,43.6,34.36666667,33.9,0.466666667
378,Riverside County Office Of Education,20.68333333,58.3,23.3,34.09444444,21.7,12.39444444
237,Golden Plains Unified,44.8,44.8,12.625,34.075,20.1,13.975
364,Lynwood Unified,27.9,43,30.16666667,33.68888889,28.6,5.088888889
249,Biggs Unified,43.8,43.8,13.3,33.63333333,20.5,13.13333333
379,Alameda County Office Of Education,20.33333333,41.4,38.56,33.43111111,28.8,4.631111111
316,Loleta Union Elementary,36.1,36.1,27.5,33.23333333,30.1,3.133333333
373,Banning Unified,25.56666667,54.1,19.8,33.15555556,18.1,15.05555556
356,Rialto Unified,29.54,42.76666667,26.91052632,33.07239766,25,8.072397661
370,Pittsburg Unified,26.45,43.8,28.2875,32.84583333,25.6,7.245833333
311,Emery Unified,37,37,23.8,32.6,22.3,10.3
336,North Monterey County Unified,33.4,45.4,18.975,32.59166667,22.3,10.29166667
380,Dinuba Unified,19.96666667,39.2,37.03333333,32.06666667,33.5,-1.433333333
349,Konocti Unified,31.53333333,53.3,9.7,31.51111111,12.7,18.81111111
375,Southern Kern Unified,23.83333333,50.4,19.4,31.21111111,19.5,11.71111111
372,Gonzales Unified,25.8,43.4,23.9,31.03333333,20.2,10.83333333
272,Fort Sage Unified,41.3,41.3,8.6,30.4,,30.4
361,Barstow Unified,28.55,39.6,22.2,30.11666667,26.6,3.516666667
366,Hilmar Unified,27.75,45,17.6,30.11666667,23.8,6.316666667
342,Coachella Valley Unified,32.38,39.46666667,18.13571429,29.99412698,17.2,12.79412698
367,Calexico Unified,27.55,45.6,16,29.71666667,17.9,11.81666667
376,Coalinga-Huron Unified,23.73333333,50.9,12.6,29.07777778,15.1,13.97777778
368,Mojave Unified,27.5,37.1,11.45,25.35,14.2,11.15
,,,,,,,
,,,,,,MAX DIFF,79
,,,,,,MIN DIFF,-19.02444444
