,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017),Differences
22,Fall River Joint Unified,85.7,85.7,35.6,69,61.1,7.9
201,San Gabriel Unified,49.2,89.5,68.06,68.92,57.5,11.42
31,Coast Unified,81.8,81.8,42.8,68.8,67.2,1.6
52,Durham Unified,73,73,59.8,68.6,69.4,-0.8
20,Nuview Union,87.6,87.6,30.26666667,68.48888889,44.9,23.58888889
155,Livermore Valley Joint Unified,53.475,84.85,66.21818182,68.18106061,66.7,1.481060606
80,Templeton Unified,66.3,66.3,71.5,68.03333333,72.6,-4.566666667
92,Ventura Unified,63.78,77.45,62.23529412,67.82176471,64.6,3.221764706
165,Santa Clara Unified,52.7,83.95,66.13529412,67.59509804,66.7,0.895098039
243,Culver City Unified,44.25,79.3,77.48,67.01,70.6,-3.59
77,Live Oak Unified,68,68,64.35,66.78333333,63.2,3.583333333
228,Oxnard Union High,46.43,54.9625,98.2,66.53083333,51.1,15.43083333
197,Berkeley Unified,49.85,71.9,77.78181818,66.51060606,72,-5.489393939
89,Vacaville Unified,64.925,82.73333333,51.54545455,66.40126263,58.9,7.501262626
37,Sbc - High Technical High,79.2,79.2,40.3,66.23333333,57.9,8.333333333
114,Newport-Mesa Unified,60.17142857,67.83333333,68.76666667,65.59047619,67,-1.40952381
110,San Francisco Unified,60.95,78.23846154,56.70410959,65.29752371,59.2,6.097523709
115,Novato Unified,60.075,73.7,60.68888889,64.8212963,66,-1.178703704
76,Middletown Unified,68.45,68.45,56.75,64.55,59.3,5.25
59,Lawndale Elementary,71.7,71.7,50.06666667,64.48888889,56.3,8.188888889
87,Ripon Unified,65.05,65.05,62.95,64.35,69.6,-5.25
106,San Diego Unified,61.42325581,73.64242424,57.87671233,64.3141308,57.7,6.614130795
131,Chico Unified,56.38,83.8,52.52777778,64.23592593,59.3,4.935925926
134,Folsom-Cordova Unified,56.01666667,70.55,65.41428571,63.99365079,63.8,0.193650794
108,Gilroy Unified,61.025,76.83333333,53.38888889,63.74907407,61,2.749074074
175,Petaluma Joint Union High,51.42,74.63333333,64.9,63.65111111,61.1,2.551111111
209,Travis Unified,48.2,77.3,64.76,63.42,63.4,0.02
42,Black Oak Mine Unified,77,77,35.6,63.2,46.9,16.3
54,Shoreline Unified,72.8,72.8,43.95,63.18333333,56.1,7.083333333
66,Lakeside Union Elementary,69.85,69.85,49.27142857,62.99047619,63.6,-0.60952381
67,Lakeside Union Elementary,69.85,69.85,49.27142857,62.99047619,28.3,34.69047619
71,Hart-Ransom Union Elementary,69.5,69.5,49.9,62.96666667,58.5,4.466666667
72,Cabrillo Unified,69.4,69.4,49.85,62.88333333,56.9,5.983333333
203,San Marcos Unified,48.78,69.3,70.40909091,62.82969697,66.2,-3.37030303
216,Santa Clara County Office Of Education,47.82,74.26666667,65.17272727,62.41979798,61.7,0.71979798
40,Calipatria Unified,78,78,30.4,62.13333333,49.5,12.63333333
119,Simi Valley Unified,59.64,71.125,55.62222222,62.12907407,59.2,2.929074074
121,Lucia Mar Unified,59.5,73.9,52.83636364,62.07878788,57.9,4.178787879
309,Orange County Department Of Education,37.42,77.15,71.3,61.95666667,43.6,18.35666667
30,Laytonville Unified,82.5,82.5,20,61.66666667,,61.66666667
103,San Lorenzo Valley Unified,61.8,61.8,60.825,61.475,65.1,-3.625
58,Winters Joint Unified,71.9,71.9,40.4,61.4,46.5,14.9
86,Mesa Union Elementary,65.4,65.4,53.1,61.3,66,-4.7
162,Elk Grove Unified,52.88571429,71.62222222,59.38292683,61.29695445,58.5,2.796954446
192,Downey Unified,50,70.1,63.37777778,61.15925926,60.4,0.759259259
81,Holtville Unified,66.2,66.2,51.05,61.15,61.7,-0.55
149,Morgan Hill Unified,54.03333333,74.7,54.35555556,61.02962963,60,1.02962963
85,Hughson Unified,65.6,65.6,51.8,61,,61
191,Chino Valley Unified,50.06666667,69.425,63.46086957,60.98417874,62.8,-1.815821256
63,Silver Valley Unified,71.1,71.1,40.5,60.9,51.1,9.8
44,Camptonville Elementary,75.8,75.8,30.2,60.6,,60.6
61,William S. Hart Union High,71.40769231,80.78181818,28.8,60.32983683,70.1,-9.77016317
129,Geyserville Unified,56.7,56.7,67.4,60.26666667,52.9,7.366666667
135,Orange Unified,56,67.675,56.27037037,59.98179012,57.8,2.181790123
215,Ramona City Unified,47.9,78.3,53.66666667,59.95555556,57.8,2.155555556
151,Amador County Unified,54,76.2,49.43333333,59.87777778,51,8.877777778
266,Martinez Unified,42.03333333,77.8,59.425,59.75277778,55.3,4.452777778
39,La Honda-Pescadero Unified,78.1,78.1,22.8,59.66666667,53.1,6.566666667
48,Colusa Unified,74.5,74.5,29.1,59.36666667,50.8,8.566666667
160,Covina-Valley Unified,53.025,67.13333333,57.62,59.25944444,58.6,0.659444444
182,Long Beach Unified,50.79230769,70.3625,56.35185185,59.16888651,57.4,1.768886515
206,Contra Costa County Office Of Education,48.675,87.9,40.6,59.05833333,,59.05833333
62,Escalon Unified,71.3,71.3,34.08,58.89333333,40.6,18.29333333
198,Monrovia Unified,49.73333333,67.1,59.74,58.85777778,61.7,-2.842222222
109,Keyes Union,61,61,54,58.66666667,58.6,0.066666667
93,Healdsburg Unified,63.3,63.3,49.4,58.66666667,55,3.666666667
163,West Covina Unified,52.825,65.5,57.08888889,58.4712963,59,-0.528703704
69,Roseland,69.7,69.7,36,58.46666667,47.6,10.86666667
252,Imperial Unified,43.2,76.2,54.7,58.03333333,54.8,3.233333333
125,Yosemite Unified,57.5,73,43.56666667,58.02222222,52.5,5.522222222
189,San Jose Unified,50.25,68.63333333,53.8037037,57.56234568,54.1,3.462345679
143,Kings Canyon Joint Unified,55.48333333,75.65,40.85,57.32777778,51.8,5.527777778
148,Snowline Joint Unified,54.2,75,42.36666667,57.18888889,51.9,5.288888889
250,Sanger Unified,43.675,75.1,52.53333333,57.10277778,58.2,-1.097222222
82,Plumas Unified,65.96,65.96,38.88,56.93333333,54,2.933333333
184,Sweetwater Union High,50.5,61.80909091,58.4,56.9030303,49.3,7.603030303
101,River Delta Joint Unified,61.9,61.9,46.88,56.89333333,49.7,7.193333333
369,Ventura County Office Of Education,26.725,67.2,76.5,56.80833333,49.7,7.108333333
313,New Haven Unified,36.7,80.5,53.14285714,56.78095238,50.1,6.680952381
156,Rowland Unified,53.275,67.66666667,49.30666667,56.74944444,53.8,2.949444444
152,Lodi Unified,53.74,75.1,41.37142857,56.73714286,45,11.73714286
90,Willits Unified,64.2,64.2,41.7,56.7,46,10.7
97,Muroc Joint Unified,62.75,62.75,44.55,56.68333333,47.7,8.983333333
240,Sierra Sands Unified,44.45,76.2,49.36666667,56.67222222,52.1,4.572222222
271,Sierra Unified,41.3,74.4,54,56.56666667,46.6,9.966666667
