,District,Avg HS Score,Avg MS Score,Avg ES Score,avg,Rank score (2017)
201,San Gabriel Unified,49.199999999999996,89.5,68.05999999999999,68.92,57.49999999999999
31,Coast Unified,81.8,81.8,42.8,68.8,67.2
52,Durham Unified,73.0,73.0,59.8,68.60000000000001,69.4
20,Nuview Union,87.6,87.6,30.26666666666667,68.4888888888889,44.9
155,Livermore Valley Joint Unified,53.474999999999994,84.85,66.21818181818182,68.1810606060606,66.7
80,Templeton Unified,66.3,66.3,71.5,68.03333333333333,72.6
92,Ventura Unified,63.779999999999994,77.44999999999999,62.23529411764706,67.82176470588234,64.6
165,Santa Clara Unified,52.7,83.95,66.13529411764706,67.5950980392157,66.7
243,Culver City Unified,44.25,79.3,77.48,67.01,70.6
77,Live Oak Unified,68.0,68.0,64.35,66.78333333333333,63.2
228,Oxnard Union High,46.43,54.9625,98.2,66.53083333333333,51.1
197,Berkeley Unified,49.85,71.9,77.7818181818182,66.51060606060607,72.0
89,Vacaville Unified,64.925,82.73333333333333,51.54545454545455,66.40126262626262,58.9
37,Sbc - High Technical High,79.2,79.2,40.3,66.23333333333333,57.9
114,Newport-Mesa Unified,60.17142857142857,67.83333333333333,68.76666666666668,65.5904761904762,67.0
110,San Francisco Unified,60.94999999999999,78.23846153846154,56.70410958904108,65.29752370916754,59.20000000000001
115,Novato Unified,60.075,73.7,60.6888888888889,64.8212962962963,66.0
76,Middletown Unified,68.45,68.45,56.75000000000001,64.55,59.3
59,Lawndale Elementary,71.7,71.7,50.06666666666667,64.4888888888889,56.3
87,Ripon Unified,65.05,65.05,62.949999999999996,64.35,69.6
106,San Diego Unified,61.42325581395346,73.64242424242423,57.87671232876715,64.31413079504829,57.70000000000001
131,Chico Unified,56.379999999999995,83.8,52.52777777777778,64.23592592592593,59.3
134,Folsom-Cordova Unified,56.01666666666667,70.55000000000001,65.41428571428571,63.9936507936508,63.800000000000004
108,Gilroy Unified,61.025,76.83333333333333,53.38888888888889,63.749074074074066,61.0
175,Petaluma Joint Union High,51.42,74.63333333333334,64.9,63.65111111111111,61.1
209,Travis Unified,48.2,77.3,64.76,63.419999999999995,63.4
42,Black Oak Mine Unified,77.0,77.0,35.6,63.199999999999996,46.9
54,Shoreline Unified,72.8,72.8,43.95,63.18333333333334,56.10000000000001
